Red,"Halsey","Cascada",,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,
Yellow,,,,,,,,,,,,,,,,,,,,,,
Green,"Becky G","OneRepublic","Shawn Mendes","Post Malone",,,,,,,,,,,,,,,,,,
Blue,"DJ Khaled","Ed Sheeran","gnash","Ed Sheeran","Dionne Warwick","Beyonc�","Justin Bieber","Clean Bandit","Fifth Harmony","Camila Cabello","Jennifer Lopez","Selena Gomez & The Scene","Troye Sivan",,,,,,,,,
Purple,,,,,,,,,,,,,,,,,,,,,,
Pink,"Drake",,,,,,,,,,,,,,,,,,,,,
Brown,"Miley Cyrus","DJ Khaled","Jason Derulo","Ella Vos","Rihanna","Michael Bubl�","Post Malone","Post Malone","The Weeknd",,,,,,,,,,,,,
Black,"Aquilo","Bobby Darin","Lorde","K.Flay","Pitbull","Chef'Special","Foster The People","Hailee Steinfeld","Coldplay","Taio Cruz","Flo Rida","Macklemore & Ryan Lewis","Lauv",,,,,,,,,
White,"Glenn Miller","Sam Smith","OMI","Julia Michaels","Coldplay","Katy Perry",,,,,,,,,,,,,,,,
Beige,"WALK THE MOON","Billie Eilish",,,,,,,,,,,,,,,,,,,,
Gray,"Mr Eazi","Whitney Houston","Niall Horan","Beyonc�","Jason Derulo","Jon Bellion","Sia","Gym Class Heroes","Enrique Iglesias","The Chainsmokers","AJR","Shaggy","Phoenix","Janet Jackson","Destiny's Child","DREAMERS","The Chainsmokers","Red 5","The 1975","Hailee Steinfeld","EMF",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,R&B,,,,,,,,,,,,,,,,,,,,,
Red,"Jacob Banks","Usher","Kehlani","SG Lewis",,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,
Yellow,,,,,,,,,,,,,,,,,,,,,,
Green,"Jidenna","Joe","Jhene Aiko","Klymaxx","Deniece Williams",,,,,,,,,,,,,,,,,
Blue,"Bryson Tiller","Jeremih","Tinashe","Patti LaBelle","Kelly Rowland","Mary J. Blige",,,,,,,,,,,,,,,,
Purple,"Marvin Gaye",,,,,,,,,,,,,,,,,,,,,
Pink,"Rico Nasty",,,,,,,,,,,,,,,,,,,,,
Brown,"Jean Knight","Yo-Yo","Ms. Lauryn Hill","Minnie Riperton","Jocelyn Brown","Tory Lanez","Fats Domino","Frank Ocean","Eric Bellinger","Kari Faux",,,,,,,,,,,,
Black,"Lalah Hathaway","PARTYNEXTDOOR","Randy Crawford","Jeremih","August Alsina","George Benson","Beyonc�","Chris Brown","Ann Peebles","Tamia",,,,,,,,,,,,
White,"Leikeli47","Gladys Knight & The Pips","The Marvelettes",,,,,,,,,,,,,,,,,,,
Beige,"Kash Doll","Martha Reeves & The Vandellas",,,,,,,,,,,,,,,,,,,,
Gray,"Aaliyah","En Vogue","BJ The Chicago Kid","SZA","Xscape","Miguel","Tamia","Eric Bellinger","Beyonc�","Keyshia Cole","Tory Lanez","The Supremes","Jeremih","SWV","Brenda Russell","Meli'sa Morgan","The Staple Singers","Diana Ross","Lyn Collins","Teena Marie","Stephanie Mills",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Reggae,,,,,,,,,,,,,,,,,,,,,
Red,"Delroy Wilson","Rita Marley",,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,
Yellow,,,,,,,,,,,,,,,,,,,,,,
Green,"Bob Marley & The Wailers","Gregory Isaacs","Israel Vibration","Bob Marley & The Wailers","Toots & The Maytals","Stephen Marley",,,,,,,,,,,,,,,,
Blue,,,,,,,,,,,,,,,,,,,,,,
Purple,,,,,,,,,,,,,,,,,,,,,,
Pink,,,,,,,,,,,,,,,,,,,,,,
Brown,"Ini Kamoze","Pablo Moses","Inner Circle","Ziggy Marley",,,,,,,,,,,,,,,,,,
Black,"Alborosie",,,,,,,,,,,,,,,,,,,,,
White,"Bob Marley & The Wailers",,,,,,,,,,,,,,,,,,,,,
Beige,"Protoje","Alborosie",,,,,,,,,,,,,,,,,,,,
Gray,"Junior Kelly","Gregory Isaacs","Damian Marley","Bob Marley & The Wailers","Damian Marley","UB40","UB40","Ziggy Marley & The Melody Makers","Steel Pulse","Steel Pulse","John Holt","Alpha Blondy","Jacob Miller","Wayne Wade","Max Romeo","Max Romeo","Bob Marley & The Wailers","Toots & The Maytals","Barrington Levy",,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Metal,,,,,,,,,,,,,,,,,,,,,
Red,,,,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,
Yellow,,,,,,,,,,,,,,,,,,,,,,
Green,"Marilyn Manson","Korn","Megadeth","Five Finger Death Punch","Megadeth",,,,,,,,,,,,,,,,,
Blue,"Fear Factory","System Of A Down","Metallica",,,,,,,,,,,,,,,,,,,
Purple,,,,,,,,,,,,,,,,,,,,,,
Pink,,,,,,,,,,,,,,,,,,,,,,
Brown,"Judas Priest","Korn","Dio","Rage Against The Machine",,,,,,,,,,,,,,,,,,
Black,"Rage Against The Machine","Diamond Head","Helloween","Limp Bizkit","System Of A Down","Crazy Town","Testament","Volbeat","A Perfect Circle","All That Remains","Sepultura","Sepultura","Metallica","Rammstein","Lamb of God","Drowning Pool","Metallica","Slipknot","Helloween","Judas Priest","Killswitch Engage",
White,"10 Years",,,,,,,,,,,,,,,,,,,,,
Beige,,,,,,,,,,,,,,,,,,,,,,
Gray,"Five Finger Death Punch","Audioslave","Slayer","Disturbed","Avenged Sevenfold","Limp Bizkit","Fozzy","Judas Priest","Rage Against The Machine","Anthrax","Marilyn Manson","Limp Bizkit","Sodom","Pantera","Dio","Theory of a Deadman","Rob Zombie","System Of A Down","Papa Roach","Slipknot","Stone Sour",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Latin,,,,,,,,,,,,,,,,,,,,,
Red,"Don Omar",,,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,
Yellow,,,,,,,,,,,,,,,,,,,,,,
Green,"De La Ghetto",,,,,,,,,,,,,,,,,,,,,
Blue,"CNCO","Maluma","Alexis y Fido","Gente De Zona","J Balvin","Danny Ocean","J Balvin",,,,,,,,,,,,,,,
Purple,"Daddy Yankee",,,,,,,,,,,,,,,,,,,,,
Pink,"Karol G",,,,,,,,,,,,,,,,,,,,,
Brown,"Enrique Iglesias","Sebastian Yatra","Sie7e","Thal�a","Bacilos","Paulina Rubio","Romeo Santos","Natalia Lafourcade",,,,,,,,,,,,,,
Black,"Wisin","Zion & Lennox","Valentino","Reykon","Oscar D'Le�n","Wisin","Pitbull","Don Omar","Romeo Santos","Nicky Jam",,,,,,,,,,,,
White,"Luis Fonsi","Maite Perroni","Bomba Est�reo","Chino & Nacho","Ozuna",,,,,,,,,,,,,,,,,
Beige,"Jesse & Joy","Shakira","Carlos Vives",,,,,,,,,,,,,,,,,,,
Gray,"Luis Fonsi","Don Omar","CNCO","Joey MonBeigea","Matisse","IAmChino","Chayanne","CNCO","Abraham Mateo","Nicky Jam","Gente De Zona","Yandel","Juanes","Piso 21","Carlos Vives","Nacho","Luis Fonsi","J Balvin","Maluma","Ricky Martin","Jacob Forever",
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
