,Rock,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Country,,,,,,,,,,,,,,,,,,,,,,,
Red,"https://i.scdn.co/image/77b341b359801e4a136b188987ff42ec28a74cc0","https://i.scdn.co/image/f2a78d9d285ea041ddae740974ab1212f0fcffb4",,,,,,,,,,,,,,,,,,,,,,
Orange,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,,,,,,,,,,,,,,,,,,,,,,,,
Green,"https://i.scdn.co/image/16d1632ac57f28682239e14ddc5cf37c3beba070","https://i.scdn.co/image/f0ec5eae65750afb2bdb4af2cf1d9af65b92380a","https://i.scdn.co/image/91b56bd84b936a08561ff8f882d1a255d89b39c5","https://i.scdn.co/image/335b7917c67709c67fe3289ee8fba4715a0166ed","https://i.scdn.co/image/afafc10482a1ff22802c60e1670a36ec63ba5eaf","https://i.scdn.co/image/9c253fc780b8b7797de07a848142fdbd3be87227",,,,,,,,,,,,,,,,,,
Blue,"https://i.scdn.co/image/218dd38dd598eec39f7ce7d5ca024f1bbcaa8a4e","https://i.scdn.co/image/2393cb0053104c3e16f2d1da586d19492240fe0b",,,,,,,,,,,,,,,,,,,,,,
Purple,,,,,,,,,,,,,,,,,,,,,,,,
Pink,,,,,,,,,,,,,,,,,,,,,,,,
Brown,"https://i.scdn.co/image/84694d9a2c12230be39f4a0a85ed1dd7e6febbf0","https://i.scdn.co/image/e951564296a9823a67147608aeab8cf821a7d16f","https://i.scdn.co/image/65a37481e9d57043f6dec0d2f09cdebbe2c48570","https://i.scdn.co/image/28e8a93b3b7993de833d2263400172af39d77c52","https://i.scdn.co/image/ebbcc32903da51b47631a171bd5c18f763116284","https://i.scdn.co/image/dc6705fa2380f79d850f9ed8b731d56918e69718","https://i.scdn.co/image/22e8f9a5dca52bc842974a70688034d5b2292979","https://i.scdn.co/image/2411d343e421b84e68a155a9fa6de1b87243a1f9","https://i.scdn.co/image/b1df86313dc9a78c80c37cc7d7d7cdba5bbd13d1",,,,,,,,,,,,,,,
Black,"https://i.scdn.co/image/473d21f10eee40058fa205d075f0cc05a073c41d","https://i.scdn.co/image/fa556260b4daf6fc19757780c4837b3c76c43282","https://i.scdn.co/image/6e58af4c7567f22282f5de154a4d68d7f27d8bb0",,,,,,,,,,,,,,,,,,,,,
White,,,,,,,,,,,,,,,,,,,,,,,,
Beige,,,,,,,,,,,,,,,,,,,,,,,,
